invoice_no,customer_id,category,product_name,quantity,price,payment_method,invoice_date,shopping_mall,discount,email,gender,age,city,total_amount
INV00013,CUST1999,Groceries,Aashirvaad Atta (10kg),1,424.03,Credit Card,2022-07-12,Sri Lakshmi Shopping Mall,4.25,sravani.prasad@hotmail.com,Female,24,Yerraguntla,406.01
INV00014,CUST0913,Sports,Fitness Dumbbells,8,1068.52,Paytm,2023-08-01,Sri Lakshmi Shopping Mall,15.73,madhavi.varma@outlook.com,Female,43,Proddatur,7203.53
INV00015,CUST0959,Home & Kitchen,Designer Curtains,3,2750.54,Debit Card,2023-01-01,JC Brothers Shopping Complex,15.72,sudha.kondaiah@proddaturmail.com,Female,28,Proddatur,6954.47
INV00016,CUST1968,Home & Kitchen,Milton Flask Set,5,1031.92,Debit Card,2022-05-13,SVR Mall,44.83,swapna.suryanarayana@hotmail.com,Female,34,Proddatur,2846.55
INV00017,CUST1478,Clothing,Cotton Dhoti,4,638.48,UPI,2022-06-03,Proddatur Central Mall,43.44,srikanth.narayan@outlook.com,Male,50,Proddatur,1444.5
INV00018,CUST0039,Home & Kitchen,Milton Flask Set,4,1419.64,Cash,2022-06-05,Proddatur Central Mall,4.66,murali.gupta@andhramail.com,Male,46,Proddatur,5413.94
INV00019,CUST0973,Home & Kitchen,Steel Dinner Set,9,2988.15,Paytm,2023-11-29,SVR Mall,25.08,sirisha.sastry@apcob.org,Female,48,Kadapa,20148.5
INV00020,CUST0193,Groceries,Telugu Pickles (1kg),2,289.5,UPI,2023-10-30,SVR Mall,6.56,divya.nayak@yahoo.com,Female,59,Proddatur,541.02
INV00021,CUST0363,Clothing,Cotton Dhoti,1,519.56,Credit Card,2023-03-18,Proddatur Central Mall,49.85,ramesh.venkateswarlu@rediffmail.com,Male,37,Jammalamadugu,260.56
INV00022,CUST1542,Groceries,Nandini Ghee (1L),3,519.48,Cash,2023-08-04,JC Brothers Shopping Complex,0.75,venkat.shastri@rediffmail.com,Male,26,Proddatur,1546.75
INV00023,CUST0409,Beauty,Himalaya Face Wash,4,224.84,UPI,2023-07-15,JC Brothers Shopping Complex,22.74,madhu.swamy@hotmail.com,Male,59,Kamalapuram,694.85
INV00024,CUST0527,Clothing,Readymade Salwar,2,1726.66,UPI,2022-06-15,PSR Shopping Mall,4.46,anupama.gowda@outlook.com,Female,36,Proddatur,3299.3
INV00025,CUST1139,Sports,Cosco Basketball,5,1539.46,Paytm,2022-09-22,Sri Lakshmi Shopping Mall,22.1,sandhya.rao@outlook.com,Female,38,Proddatur,5996.2
INV00026,CUST1607,Groceries,Telugu Pickles (1kg),16,371.8,Cash,2023-08-06,Proddatur Central Mall,20.05,sarita.yadav@outlook.com,Female,24,Proddatur,4756.07
INV00027,CUST0690,Electronics,Havells Water Heater,2,7808.18,Credit Card,2023-03-28,SVR Mall,18.68,rajesh.murthy@apcob.org,Male,29,Proddatur,12699.22
INV00028,CUST1231,Electronics,Samsung Galaxy M32,13,14482.45,Cash,2023-04-06,Proddatur Central Mall,32.19,latha.subramaniam@outlook.com,Female,58,Kadapa,127667.14
INV00029,CUST0998,Beauty,Lakme Lipstick,2,377.28,Debit Card,2023-12-18,SVR Mall,5.26,sarala.devi@hotmail.com,Female,27,Kadapa,714.87
INV00030,CUST0925,Beauty,Forest Essentials Cream,5,1265.87,UPI,2023-02-13,PSR Shopping Mall,23.11,reddy.chowdary@apsrtc.gov.in,Male,36,Rajampet,4866.64
INV00031,CUST0618,Home & Kitchen,Copper Water Bottles,2,787.3,UPI,2023-04-25,PSR Shopping Mall,9.01,harish.kondaiah@apcob.org,Male,31,Yerraguntla,1432.73
INV00032,CUST0337,Clothing,Lehenga,4,2515.77,Credit Card,2023-03-20,Proddatur Central Mall,17.12,sarita.rao@kakinada.edu.in,Female,55,Proddatur,8340.28
INV00033,CUST1636,Home & Kitchen,Milton Flask Set,2,994.86,UPI,2023-12-21,PSR Shopping Mall,1.91,murali.suryanarayana@hotmail.com,Male,30,Proddatur,1951.72
INV00034,CUST1858,Home & Kitchen,Clay Cookware Set,1,1852.31,Cash,2022-05-30,Sri Lakshmi Shopping Mall,49.39,devi.prakash@proddaturmail.com,Female,37,Proddatur,937.45
INV00035,CUST0457,Beauty,Biotique Face Scrub,4,253.36,UPI,2023-01-06,PSR Shopping Mall,10.57,jyothi.kumar@rediffmail.com,Female,20,Mydukur,906.32
INV00036,CUST1699,Electronics,LG Smart TV,1,27089.78,Debit Card,2022-10-04,JC Brothers Shopping Complex,3.46,pavan.singh@gmail.com,Male,65,Proddatur,26152.47
INV00037,CUST0166,Groceries,Kellogg's Corn Flakes,1,242.97,UPI,2023-12-31,Sri Lakshmi Shopping Mall,33.48,naga.prakash@rediffmail.com,Male,54,Proddatur,161.62
INV00038,CUST1122,Jewelry,Stone Studded Rings,3,673.62,UPI,2022-04-05,JC Brothers Shopping Complex,37.66,naga.babu@andhramail.com,Male,64,Proddatur,1259.8
INV00039,CUST1132,Groceries,Britannia Biscuits Pack,4,168.88,Credit Card,2023-03-06,JC Brothers Shopping Complex,8.03,sudhakar.srinivasulu@proddaturmail.com,Male,39,Kamalapuram,621.28
INV00040,CUST1850,Groceries,Aashirvaad Atta (10kg),3,456.09,UPI,2023-12-11,SVR Mall,44.69,priya.swamy@rediffmail.com,Female,44,Pulivendla,756.79
INV00041,CUST0255,Clothing,Lehenga,1,2113.49,Paytm,2023-09-24,PSR Shopping Mall,44.83,kalyan.rao@outlook.com,Male,28,Kamalapuram,1166.01
INV00042,CUST1888,Clothing,Cotton Dhoti,2,531.4,Paytm,2022-11-21,Proddatur Central Mall,36.11,sudha.shastri@andhramail.com,Female,31,Kadapa,679.02
INV00043,CUST1142,Electronics,Havells Water Heater,2,4389.78,Paytm,2023-10-12,PSR Shopping Mall,10.93,ramesh.murthy@kakinada.edu.in,Male,34,Proddatur,7819.95
INV00044,CUST0564,Groceries,Toor Dal (2kg),2,310.09,UPI,2023-12-15,Proddatur Central Mall,10.81,anil.subramaniam@apsrtc.gov.in,Male,21,Proddatur,553.14
INV00045,CUST0820,Groceries,Aashirvaad Atta (10kg),1,437.03,UPI,2023-11-27,JC Brothers Shopping Complex,18.19,jyothi.gowda@rediffmail.com,Female,33,Jammalamadugu,357.53
INV00046,CUST1047,Beauty,Himalaya Face Wash,1,254.9,Debit Card,2023-05-30,PSR Shopping Mall,32.45,chandra.kondaiah@kakinada.edu.in,Male,30,Proddatur,172.18
INV00047,CUST0435,Electronics,Sony Home Theatre,3,21387.74,UPI,2022-12-27,Proddatur Central Mall,48.7,venkat.subramaniam@rediffmail.com,Male,25,Yerraguntla,32915.73
INV00048,CUST1008,Electronics,LG Smart TV,5,38818.84,Debit Card,2023-04-15,JC Brothers Shopping Complex,8.13,ganesh.yadav@apsrtc.gov.in,Male,55,Proddatur,178314.34
INV00049,CUST1336,Home & Kitchen,Designer Curtains,7,3085.27,Paytm,2023-11-07,Sri Lakshmi Shopping Mall,35.1,sekhar.kondaiah@outlook.com,Male,45,Yerraguntla,14016.38
INV00050,CUST0054,Beauty,Himalaya Face Wash,8,163.45,Paytm,2022-03-31,Sri Lakshmi Shopping Mall,0.82,rani.varma@andhramail.com,Female,58,Proddatur,1296.88
INV00051,CUST1002,Home & Kitchen,Wooden Cutting Board,17,763.61,Debit Card,2023-05-24,SVR Mall,4.99,murali.choudhary@apcob.org,Male,40,Proddatur,12333.6
INV00052,CUST1857,Home & Kitchen,Designer Curtains,2,2029.68,Credit Card,2022-02-03,Sri Lakshmi Shopping Mall,38.84,meena.choudhary@apsrtc.gov.in,Female,49,Mydukur,2482.7
INV00053,CUST1940,Beauty,Himalaya Face Wash,5,202.59,Debit Card,2022-07-20,PSR Shopping Mall,39.69,usha.suryanarayana@yahoo.com,Female,25,Proddatur,610.91
INV00054,CUST0605,Jewelry,Oxidized Earrings,8,553.78,Credit Card,2022-01-08,JC Brothers Shopping Complex,13.38,saraswati.achary@proddaturmail.com,Female,27,Proddatur,3837.47
INV00055,CUST0137,Home & Kitchen,Prestige Pressure Cooker,9,3300.37,UPI,2023-03-01,Proddatur Central Mall,20.73,sneha.pillai@apsrtc.gov.in,Female,39,Yerraguntla,23545.83
INV00056,CUST0983,Beauty,Nivea Skin Cream,6,446.01,UPI,2023-01-19,SVR Mall,30.0,durga.hegde@rediffmail.com,Female,26,Proddatur,1873.24
INV00057,CUST1097,Clothing,Cotton Dhoti,1,496.33,Cash,2023-03-17,SVR Mall,32.22,durga.narayan@outlook.com,Female,30,Proddatur,336.41
INV00058,CUST0037,Clothing,Cotton Dhoti,1,888.68,Paytm,2023-03-16,SVR Mall,8.69,rajesh.reddy@yahoo.com,Male,32,Jammalamadugu,811.45
INV00059,CUST1047,Electronics,OnePlus Nord CE 2,1,28260.15,UPI,2022-06-12,SVR Mall,6.32,chandra.kondaiah@kakinada.edu.in,Male,30,Proddatur,26474.11
INV00060,CUST1040,Beauty,Patanjali Hair Oil,1,225.6,UPI,2023-02-06,Sri Lakshmi Shopping Mall,7.95,naidu.nayak@apcob.org,Male,33,Kadapa,207.66
INV00061,CUST1417,Clothing,Men's Cotton Shirt,6,1554.67,UPI,2022-04-06,SVR Mall,29.66,krishna.venkateswarlu@andhramail.com,Male,23,Kadapa,6561.33
INV00062,CUST1287,Groceries,Aashirvaad Atta (10kg),1,474.23,Debit Card,2022-03-22,JC Brothers Shopping Complex,6.53,anitha.venkateswarlu@gmail.com,Female,25,Proddatur,443.26
INV00063,CUST1236,Clothing,Churidar Set,3,1882.92,UPI,2022-07-11,PSR Shopping Mall,26.77,swapna.venkateswarlu@gmail.com,Female,34,Kadapa,4136.59
INV00064,CUST1180,Home & Kitchen,Faber Chimney,1,8580.74,UPI,2022-09-24,SVR Mall,7.19,sridevi.venkateswarlu@rediffmail.com,Female,40,Rajampet,7963.78
INV00065,CUST1777,Clothing,Readymade Salwar,3,1245.37,UPI,2022-04-16,Proddatur Central Mall,7.09,anil.setty@rediffmail.com,Male,46,Kadapa,3471.22
INV00066,CUST0677,Clothing,Lehenga,3,9301.75,UPI,2022-04-06,Sri Lakshmi Shopping Mall,10.4,kavita.agarwal@outlook.com,Female,26,Pulivendla,25003.1
INV00067,CUST0564,Clothing,Women's Saree,11,2866.92,Cash,2023-02-28,PSR Shopping Mall,21.0,anil.subramaniam@apsrtc.gov.in,Male,21,Proddatur,24913.53
INV00068,CUST0810,Clothing,Men's Cotton Shirt,1,1884.37,Credit Card,2022-06-14,Sri Lakshmi Shopping Mall,32.98,sujana.setty@andhramail.com,Female,26,Mydukur,1262.9
INV00069,CUST0497,Footwear,Ladies Heels,3,1674.26,Debit Card,2022-05-01,Proddatur Central Mall,30.7,priya.pillai@hotmail.com,Female,42,Proddatur,3480.79
INV00070,CUST1097,Home & Kitchen,Milton Flask Set,1,934.99,UPI,2023-06-19,SVR Mall,1.48,durga.narayan@outlook.com,Female,30,Proddatur,921.15
INV00071,CUST1042,Clothing,Lehenga,13,2918.31,UPI,2022-06-06,Proddatur Central Mall,10.85,aruna.shastri@kakinada.edu.in,Female,51,Proddatur,33821.75
INV00072,CUST1726,Home & Kitchen,Steel Dinner Set,3,1681.66,Paytm,2022-03-27,JC Brothers Shopping Complex,24.08,sneha.achary@apcob.org,Female,24,Kadapa,3830.15
INV00073,CUST0972,Groceries,MTR Masala Pack,7,393.41,Debit Card,2023-12-27,PSR Shopping Mall,40.45,devi.srinivasulu@apsrtc.gov.in,Female,62,Proddatur,1639.93
INV00074,CUST0679,Electronics,Philips Mixer Grinder,1,4217.64,UPI,2022-07-17,PSR Shopping Mall,44.37,sneha.naidu@kakinada.edu.in,Female,66,Badvel,2346.27
INV00075,CUST1053,Groceries,Horlicks (500g),2,281.16,Paytm,2022-04-16,PSR Shopping Mall,39.7,naidu.choudhary@yahoo.com,Male,62,Jammalamadugu,339.08
INV00076,CUST1319,Jewelry,Stone Studded Rings,15,877.06,UPI,2023-03-20,Sri Lakshmi Shopping Mall,13.58,aparna.raju@apsrtc.gov.in,Female,25,Proddatur,11369.33
INV00077,CUST0435,Electronics,Philips Mixer Grinder,7,3917.86,Credit Card,2023-09-14,Sri Lakshmi Shopping Mall,18.7,venkat.subramaniam@rediffmail.com,Male,25,Yerraguntla,22296.54
INV00078,CUST0344,Clothing,Men's Cotton Shirt,6,1949.72,Debit Card,2023-04-06,SVR Mall,12.65,naga.singh@andhramail.com,Male,36,Proddatur,10218.48
INV00079,CUST0018,Footwear,Woodland Boots,3,2704.51,UPI,2023-10-23,JC Brothers Shopping Complex,1.5,praveen.goud@rediffmail.com,Male,40,Proddatur,7991.83
INV00080,CUST1655,Beauty,Ayurvedic Face Pack,1,335.86,Debit Card,2023-03-16,Proddatur Central Mall,10.76,usha.varma@apsrtc.gov.in,Female,25,Proddatur,299.72
INV00081,CUST0877,Clothing,Lehenga,6,7506.34,UPI,2022-11-18,SVR Mall,35.84,sujatha.sharma@proddaturmail.com,Female,48,Proddatur,28896.41
INV00082,CUST1877,Jewelry,Imitation Bridal Set,7,2264.94,UPI,2022-11-26,Proddatur Central Mall,14.18,sunil.gopal@outlook.com,Male,42,Kadapa,13606.4
INV00083,CUST1341,Groceries,Horlicks (500g),1,344.63,Credit Card,2022-04-16,SVR Mall,40.37,naidu.raju@hotmail.com,Male,31,Proddatur,205.5
INV00084,CUST0684,Electronics,Boat Headphones,9,1635.57,UPI,2023-10-24,PSR Shopping Mall,16.01,chandra.choudhary@rediffmail.com,Male,45,Yerraguntla,12363.44
INV00085,CUST0725,Clothing,Kurta Pajama,4,1631.86,UPI,2023-05-26,JC Brothers Shopping Complex,6.2,mahesh.narayan@rediffmail.com,Male,41,Jammalamadugu,6122.74
INV00086,CUST1205,Electronics,Havells Water Heater,9,4085.07,Cash,2023-08-29,SVR Mall,0.89,pavan.patil@outlook.com,Male,38,Kadapa,36438.42
INV00087,CUST0842,Jewelry,Pearl Necklace,2,1393.17,UPI,2022-01-05,SVR Mall,48.34,sujatha.choudhary@yahoo.com,Female,45,Proddatur,1439.42
INV00088,CUST1242,Clothing,Men's Cotton Shirt,1,883.34,Cash,2023-06-25,JC Brothers Shopping Complex,4.76,praveen.kondaiah@hotmail.com,Male,51,Proddatur,841.29
INV00089,CUST1870,Electronics,Crompton Ceiling Fan,8,2100.52,UPI,2022-10-09,SVR Mall,27.82,rani.gopal@gmail.com,Female,48,Proddatur,12129.24
INV00090,CUST1133,Electronics,Mi Power Bank,2,1392.0,Paytm,2022-02-18,JC Brothers Shopping Complex,32.05,srikanth.agarwal@kakinada.edu.in,Male,25,Jammalamadugu,1891.73
INV00091,CUST0042,Clothing,Churidar Set,2,1310.02,UPI,2023-09-25,JC Brothers Shopping Complex,0.52,chandra.babu@apsrtc.gov.in,Male,39,Mydukur,2606.42
INV00092,CUST0891,Home & Kitchen,Cotton Bed Sheet,1,753.17,Paytm,2023-12-06,JC Brothers Shopping Complex,9.56,durga.choudhary@hotmail.com,Female,48,Proddatur,681.17
INV00093,CUST0335,Sports,Yonex Badminton Racket,4,1519.38,UPI,2023-07-05,JC Brothers Shopping Complex,39.25,rani.prakash@proddaturmail.com,Female,23,Proddatur,3692.09
INV00094,CUST1401,Electronics,Havells Water Heater,1,7166.51,Credit Card,2022-03-18,Proddatur Central Mall,18.98,rao.hegde@apcob.org,Male,28,Kadapa,5806.31
INV00095,CUST1586,Groceries,Toor Dal (2kg),2,281.93,Credit Card,2023-08-21,PSR Shopping Mall,7.4,siva.pandey@apcob.org,Male,27,Proddatur,522.13
INV00096,CUST1840,Electronics,OnePlus Nord CE 2,4,27130.58,Debit Card,2023-10-15,PSR Shopping Mall,12.03,sujatha.suryanarayana@proddaturmail.com,Female,30,Proddatur,95467.08
INV00097,CUST0025,Electronics,Mi Power Bank,2,1071.0,UPI,2022-10-15,Sri Lakshmi Shopping Mall,13.19,aruna.devi@rediffmail.com,Female,37,Proddatur,1859.47
INV00098,CUST1513,Groceries,Basmati Rice (5kg),6,697.84,UPI,2022-12-28,Sri Lakshmi Shopping Mall,36.76,saraswati.shastri@rediffmail.com,Female,64,Kadapa,2647.88
INV00099,CUST1340,Footwear,Men's Leather Sandals,5,1054.97,Debit Card,2022-03-18,PSR Shopping Mall,33.52,surya.murthy@kakinada.edu.in,Male,22,Proddatur,3506.72
INV00100,CUST0594,Groceries,Telugu Pickles (1kg),7,241.73,Debit Card,2022-07-12,JC Brothers Shopping Complex,29.53,kavita.naidu@apcob.org,Female,34,Proddatur,1192.43
INV00101,CUST1568,Home & Kitchen,Steel Dinner Set,6,2726.05,UPI,2022-11-16,JC Brothers Shopping Complex,5.28,rao.setty@andhramail.com,Male,26,Proddatur,15492.69
INV00102,CUST0871,Footwear,Rubber Flip Flops,3,278.37,UPI,2023-01-30,JC Brothers Shopping Complex,39.0,anupama.kondaiah@outlook.com,Female,34,Kadapa,509.42
INV00103,CUST1160,Clothing,Kurta Pajama,2,2427.24,UPI,2023-03-10,PSR Shopping Mall,28.86,priya.shastri@rediffmail.com,Female,22,Proddatur,3453.48
INV00104,CUST0314,Home & Kitchen,Cotton Bed Sheet,2,614.93,UPI,2022-04-20,PSR Shopping Mall,23.04,reddy.iyer@kakinada.edu.in,Male,65,Proddatur,946.5
INV00105,CUST0200,Groceries,Telugu Pickles (1kg),1,253.12,UPI,2023-11-09,PSR Shopping Mall,46.35,ganesh.ramakrishna@rediffmail.com,Male,51,Kadapa,135.8
INV00106,CUST1382,Clothing,Designer Blouse,6,1203.19,Debit Card,2022-08-06,JC Brothers Shopping Complex,16.69,lalitha.sastry@gmail.com,Female,35,Rayachoti,6014.27
INV00107,CUST0216,Clothing,Cotton Dhoti,1,766.0,UPI,2022-04-11,PSR Shopping Mall,21.13,radha.kumar@apsrtc.gov.in,Female,30,Proddatur,604.14
INV00108,CUST0099,Groceries,Britannia Biscuits Pack,5,160.74,UPI,2022-06-30,Sri Lakshmi Shopping Mall,25.93,pavani.narayan@gmail.com,Female,22,Kadapa,595.3
INV00109,CUST1850,Clothing,Women's Saree,1,2927.27,UPI,2023-10-24,JC Brothers Shopping Complex,2.66,priya.swamy@rediffmail.com,Female,44,Pulivendla,2849.4
INV00110,CUST0275,Clothing,Women's Saree,4,3290.49,Credit Card,2022-09-02,PSR Shopping Mall,44.13,harish.sastry@apcob.org,Male,39,Proddatur,7353.59
INV00111,CUST1697,Electronics,Philips Mixer Grinder,4,4334.81,UPI,2023-02-06,Proddatur Central Mall,43.98,ramesh.narayan@andhramail.com,Male,22,Kadapa,9713.44
INV00112,CUST0428,Beauty,Ayurvedic Face Pack,1,472.91,UPI,2022-06-25,Sri Lakshmi Shopping Mall,35.29,sarala.prasad@apcob.org,Female,58,Pulivendla,306.02
INV00113,CUST0100,Clothing,Readymade Salwar,7,1953.52,Paytm,2022-04-07,Proddatur Central Mall,15.27,vijaya.narayan@outlook.com,Female,26,Yerraguntla,11586.52
INV00114,CUST1410,Electronics,OnePlus Nord CE 2,4,24999.87,Debit Card,2022-06-24,Sri Lakshmi Shopping Mall,16.61,devi.naidu@apsrtc.gov.in,Female,56,Kadapa,83389.57
INV00115,CUST0603,Groceries,Telugu Pickles (1kg),4,204.17,Cash,2023-11-14,Proddatur Central Mall,48.72,sudha.devi@gmail.com,Female,29,Jammalamadugu,418.79
INV00116,CUST1631,Home & Kitchen,Prestige Pressure Cooker,4,2688.01,Credit Card,2023-11-27,PSR Shopping Mall,48.48,reddy.shastri@kakinada.edu.in,Male,49,Proddatur,5539.45
INV00117,CUST1135,Groceries,Aashirvaad Atta (10kg),2,481.89,Paytm,2022-09-11,Proddatur Central Mall,28.36,madhu.swamy@gmail.com,Male,46,Kadapa,690.45
INV00118,CUST0100,Groceries,Toor Dal (2kg),6,327.53,Cash,2023-06-22,JC Brothers Shopping Complex,5.0,vijaya.narayan@outlook.com,Female,26,Yerraguntla,1866.92
INV00119,CUST0321,Groceries,Telugu Pickles (1kg),1,397.96,Debit Card,2023-04-09,JC Brothers Shopping Complex,12.87,venkat.singh@apsrtc.gov.in,Male,40,Proddatur,346.74
INV00120,CUST1708,Clothing,Lehenga,6,4409.07,Debit Card,2023-04-15,SVR Mall,16.69,swapna.kumar@hotmail.com,Female,30,Jammalamadugu,22039.18
INV00121,CUST0647,Clothing,Designer Blouse,2,1619.5,Paytm,2023-05-11,Proddatur Central Mall,1.04,sneha.varma@yahoo.com,Female,42,Proddatur,3205.31
INV00122,CUST1806,Sports,Table Tennis Racket,1,898.27,Cash,2023-11-07,PSR Shopping Mall,12.22,priya.nayak@outlook.com,Female,50,Proddatur,788.5
INV00123,CUST0312,Clothing,Women's Saree,8,2759.97,Credit Card,2023-01-04,JC Brothers Shopping Complex,47.74,sneha.raju@apsrtc.gov.in,Female,25,Proddatur,11538.88
INV00124,CUST1610,Home & Kitchen,Copper Water Bottles,3,1489.87,UPI,2023-10-04,JC Brothers Shopping Complex,43.8,reddy.ramakrishna@hotmail.com,Male,40,Kadapa,2511.92
INV00125,CUST0416,Electronics,Boat Headphones,3,2890.53,UPI,2022-12-06,SVR Mall,13.81,siva.agarwal@outlook.com,Male,37,Kamalapuram,7474.04
INV00126,CUST1291,Home & Kitchen,Wooden Cutting Board,4,361.48,Credit Card,2023-06-17,JC Brothers Shopping Complex,39.77,ravi.naidu@apsrtc.gov.in,Male,35,Jammalamadugu,870.88
INV00127,CUST0105,Clothing,Men's Cotton Shirt,9,1398.71,Debit Card,2022-10-23,Proddatur Central Mall,34.28,krishna.kondaiah@hotmail.com,Male,59,Proddatur,8273.09
INV00128,CUST1801,Footwear,Rubber Flip Flops,2,289.54,Debit Card,2023-06-20,Sri Lakshmi Shopping Mall,8.13,lakshmi.nayak@yahoo.com,Female,64,Kamalapuram,532.0
INV00129,CUST0969,Clothing,Men's Cotton Shirt,10,1060.79,UPI,2022-10-29,PSR Shopping Mall,41.27,naveen.setty@hotmail.com,Male,41,Proddatur,6230.02
INV00130,CUST1674,Clothing,Lehenga,2,7282.03,UPI,2022-11-10,JC Brothers Shopping Complex,0.03,srikanth.singh@hotmail.com,Male,52,Proddatur,14559.69
INV00131,CUST0649,Beauty,Nivea Skin Cream,1,399.6,UPI,2022-10-18,Sri Lakshmi Shopping Mall,38.44,padma.singh@proddaturmail.com,Female,51,Kadapa,245.99
INV00132,CUST0103,Clothing,Churidar Set,2,2193.72,UPI,2022-10-05,Sri Lakshmi Shopping Mall,45.91,madhu.prakash@rediffmail.com,Male,33,Kamalapuram,2373.17
INV00133,CUST1724,Jewelry,Oxidized Earrings,2,705.85,Debit Card,2023-04-30,Sri Lakshmi Shopping Mall,31.85,subba.babu@apsrtc.gov.in,Male,26,Kamalapuram,962.07
INV00134,CUST1260,Jewelry,Silver Toe Rings,9,324.29,Credit Card,2022-09-25,JC Brothers Shopping Complex,28.2,babu.sharma@outlook.com,Male,42,Proddatur,2095.56
INV00135,CUST0970,Clothing,Churidar Set,1,1775.05,UPI,2023-08-16,JC Brothers Shopping Complex,20.82,prasad.raju@andhramail.com,Male,38,Mydukur,1405.48
INV00136,CUST0316,Electronics,Mi Power Bank,3,1455.0,Cash,2022-03-29,PSR Shopping Mall,18.8,nirmala.rao@yahoo.com,Female,47,Mydukur,3544.38
INV00137,CUST0616,Clothing,Silk Pattu Saree,1,15412.0,Credit Card,2022-04-09,JC Brothers Shopping Complex,25.19,swapna.rao@apsrtc.gov.in,Female,60,Mydukur,11529.72
INV00138,CUST0025,Electronics,Mi Power Bank,1,1304.61,UPI,2023-04-25,SVR Mall,20.51,aruna.devi@rediffmail.com,Female,37,Proddatur,1037.03
INV00139,CUST0389,Footwear,Bata Formal Shoes,3,1341.49,Paytm,2022-01-28,Proddatur Central Mall,7.03,padma.suryanarayana@apsrtc.gov.in,Female,49,Proddatur,3741.55
INV00140,CUST0147,Groceries,Toor Dal (2kg),1,312.09,Cash,2023-08-18,Sri Lakshmi Shopping Mall,45.0,mohan.swamy@apsrtc.gov.in,Male,43,Proddatur,171.65
INV00141,CUST0667,Clothing,Men's Cotton Shirt,1,1355.37,Debit Card,2023-02-07,Sri Lakshmi Shopping Mall,38.15,mohan.raju@outlook.com,Male,31,Jammalamadugu,838.3
INV00142,CUST1582,Clothing,Women's Saree,4,3667.64,UPI,2022-03-28,PSR Shopping Mall,4.87,jaya.babu@outlook.com,Female,35,Proddatur,13956.1
INV00143,CUST1397,Electronics,Samsung Galaxy M32,2,12485.77,Debit Card,2023-12-09,Sri Lakshmi Shopping Mall,29.23,chandra.devi@kakinada.edu.in,Male,36,Kadapa,17672.36
INV00144,CUST1881,Clothing,Kids' T-Shirt,1,581.02,UPI,2023-12-20,Proddatur Central Mall,48.36,pavan.devi@andhramail.com,Male,46,Proddatur,300.04
INV00145,CUST1167,Groceries,Aashirvaad Atta (10kg),3,480.56,UPI,2022-11-05,Sri Lakshmi Shopping Mall,31.18,ganesh.suryanarayana@apcob.org,Male,54,Proddatur,992.16
INV00146,CUST0815,Clothing,Women's Saree,4,4878.85,UPI,2022-01-01,Sri Lakshmi Shopping Mall,12.36,srinivas.iyer@yahoo.com,Male,56,Proddatur,17103.3
INV00147,CUST1513,Electronics,Samsung Galaxy M32,2,15704.18,Debit Card,2023-06-02,Proddatur Central Mall,15.0,saraswati.shastri@rediffmail.com,Female,64,Kadapa,26697.11
INV00148,CUST1617,Beauty,Nivea Skin Cream,1,278.08,Debit Card,2022-08-29,SVR Mall,30.64,rao.prakash@gmail.com,Male,71,Proddatur,192.88
